codmun,ano,is_top_100,regiao
210570,2010,0,Nordeste
210580,2007,0,Nordeste
210580,2010,0,Nordeste
210590,2007,0,Nordeste
210590,2010,0,Nordeste
210592,2007,0,Nordeste
210592,2010,0,Nordeste
210594,2007,0,Nordeste
210594,2010,0,Nordeste
210596,2007,0,Nordeste
210596,2010,0,Nordeste
210598,2007,0,Nordeste
210598,2010,0,Nordeste
210600,2007,0,Nordeste
210600,2010,0,Nordeste
210610,2007,0,Nordeste
210610,2010,0,Nordeste
210620,2007,0,Nordeste
210620,2010,0,Nordeste
210630,2007,0,Nordeste
210630,2010,0,Nordeste
210632,2007,0,Nordeste
210632,2010,0,Nordeste
210635,2007,0,Nordeste
210635,2010,0,Nordeste
210637,2007,0,Nordeste
210637,2010,0,Nordeste
210640,2007,0,Nordeste
210640,2010,0,Nordeste
210650,2007,0,Nordeste
210650,2010,0,Nordeste
210660,2007,0,Nordeste
210660,2010,0,Nordeste
210663,2007,0,Nordeste
210663,2010,0,Nordeste
210667,2007,0,Nordeste
210667,2010,0,Nordeste
210675,2007,0,Nordeste
210675,2010,0,Nordeste
210680,2007,0,Nordeste
210680,2010,0,Nordeste
210690,2007,0,Nordeste
210690,2010,0,Nordeste
210700,2007,0,Nordeste
210700,2010,0,Nordeste
210710,2007,0,Nordeste
210710,2010,0,Nordeste
210720,2007,0,Nordeste
210720,2010,0,Nordeste
210725,2007,0,Nordeste
210725,2010,0,Nordeste
210730,2007,0,Nordeste
210730,2010,0,Nordeste
210735,2007,0,Nordeste
210735,2010,0,Nordeste
210740,2007,0,Nordeste
210740,2010,0,Nordeste
210745,2007,0,Nordeste
210745,2010,0,Nordeste
210750,2007,0,Nordeste
210750,2010,0,Nordeste
210760,2007,0,Nordeste
210760,2010,0,Nordeste
210770,2007,0,Nordeste
210770,2010,0,Nordeste
210780,2007,0,Nordeste
210780,2010,0,Nordeste
210790,2007,0,Nordeste
210790,2010,0,Nordeste
210800,2007,0,Nordeste
210800,2010,0,Nordeste
210805,2007,0,Nordeste
210805,2010,0,Nordeste
210810,2007,0,Nordeste
210810,2010,0,Nordeste
210820,2007,0,Nordeste
210820,2010,0,Nordeste
210825,2007,0,Nordeste
210825,2010,0,Nordeste
210830,2007,0,Nordeste
210830,2010,0,Nordeste
210840,2007,0,Nordeste
210840,2010,0,Nordeste
210845,2007,0,Nordeste
210845,2010,0,Nordeste
210850,2007,0,Nordeste
210850,2010,0,Nordeste
210860,2007,0,Nordeste
210860,2010,0,Nordeste
210870,2007,0,Nordeste
210870,2010,0,Nordeste
210880,2007,0,Nordeste
210880,2010,0,Nordeste
210890,2007,0,Nordeste
